year,imdb,title,clean_test,binary,budget,domgross,intgross,budget_2013$,domgross_2013$,intgross_2013$
2013,tt1457767,The Conjuring,ok,PASS,20000000,137400141,318000141,20000000,137400141,318000141
2013,tt2193215,The Counselor,ok,PASS,25000000,16973715,70373715,25000000,16973715,70373715
2013,tt0481499,The Croods,men,FAIL,135000000,187168425,573068425,135000000,187168425,573068425
2013,tt2404311,The Family,men,FAIL,30000000,36918811,51078541,30000000,36918811,51078541
2013,tt1837703,The Fifth Estate,notalk,FAIL,26000000,3254172,6154172,26000000,3254172,6154172
2013,tt2005374,The Frozen Ground,nowomen,FAIL,19200000,#N/A,#N/A,19200000,#N/A,#N/A
2013,tt1343092,The Great Gatsby,dubious,FAIL,190000000,144840419,351040419,190000000,144840419,351040419
2013,tt1951261,The Hangover part 3,men,FAIL,103000000,112200072,362000072,103000000,112200072,362000072
2013,tt2404463,The Heat,ok,PASS,43000000,159581587,230781587,43000000,159581587,230781587
2013,tt1170358,The Hobbit: The Desolation of Smaug,notalk,FAIL,250000000,257397516,937397516,250000000,257397516,937397516
2013,tt1517260,The Host,dubious,FAIL,50000000,26623701,58188384,50000000,26623701,58188384
2013,tt1951264,The Hunger Games: Catching Fire,ok,PASS,130000000,424088260,857088260,130000000,424088260,857088260
2013,tt0790628,The Incredible Burt Wonderstone,notalk,FAIL,32000000,22537881,24255957,32000000,22537881,24255957
2013,tt2234155,The Internship,notalk,FAIL,58000000,44672764,93672764,58000000,44672764,93672764
2013,tt2034139,The Last Exorcism Part II,ok,PASS,4000000,15179303,18541236,4000000,15179303,18541236
2013,tt1210819,The Lone Ranger,notalk,FAIL,275000000,89289910,259989910,275000000,89289910,259989910
2013,tt1538403,The Mortal Instruments: City of Bones,ok,PASS,60000000,31165421,75965567,60000000,31165421,75965567
2013,tt2184339,The Purge,dubious,FAIL,3000000,64473115,91100541,3000000,64473115,91100541
2013,tt2017020,The Smurfs 2,ok,PASS,110000000,71017784,348545841,110000000,71017784,348545841
2013,tt1758795,The To Do List,ok,PASS,1500000,3491669,3491669,1500000,3491669,3491669
2013,tt1727388,The Way Way Back,ok,PASS,5000000,21502690,26161443,5000000,21502690,26161443
2013,tt0993846,The Wolf of Wall Street,notalk,FAIL,100000000,115702857,365702857,100000000,115702857,365702857
2013,tt1430132,The Wolverine,ok,PASS,115000000,132556852,416456852,115000000,132556852,416456852
2013,tt1213663,The World&#39;s End,men,FAIL,20000000,26004851,46578821,20000000,26004851,46578821
2013,tt1245492,This Is the End,notalk,FAIL,32000000,101470202,126294264,32000000,101470202,126294264
2013,tt1981115,Thor: The Dark World,dubious,FAIL,170000000,204674790,631674790,170000000,204674790,631674790
2013,tt1924429,Trance,nowomen,FAIL,16000000,2322593,22594052,16000000,2322593,22594052
2013,tt1860353,Turbo,dubious,FAIL,135000000,83028130,283828130,135000000,83028130,283828130
2013,tt1588173,Warm Bodies,men,FAIL,30000000,66380662,116643610,30000000,66380662,116643610
2013,tt1723121,We&#39;re the Millers,ok,PASS,37000000,150394119,270000119,37000000,150394119,270000119
2013,tt2334879,White House Down,men,FAIL,150000000,73103784,205440387,150000000,73103784,205440387
2013,tt0816711,World War Z,dubious,FAIL,190000000,202359711,539559711,190000000,202359711,539559711
2012,tt1611224,Abraham Lincoln: Vampire Hunter,dubious,FAIL,67500000,37519139,115119139,68488103,38068365,116804318
2012,tt1591479,Act of Valor,nowomen,FAIL,12000000,70012847,82497035,12175663,71037735,83704673
2012,tt1602620,Amour,dubious,FAIL,9700000,6738954,25915719,9841994,6837603,26295088
2012,tt1781769,Anna Karenina,men,FAIL,49000000,12816367,70735540,49717290,13003980,71771007
2012,tt1024648,Argo,ok,PASS,44500000,136025503,221300694,45151416,138016721,224540219
2012,tt1440129,Battleship,notalk,FAIL,209000000,65235400,304142720,212059460,66190353,308594933
2012,tt2125435,Beasts of the Southern Wild,dubious,FAIL,1800000,12795746,21080058,1826349,12983057,21388640
2012,tt1758575,Blue Like Jazz,ok,PASS,1200000,595018,595018,1217566,603728,603728
2012,tt1217209,Brave,ok,PASS,185000000,237282182,554606532,187708135,240755653,562725176
2012,tt1308729,Bullet to the Head,nowomen,FAIL,55000000,9489829,13561515,55805121,9628746,13760036
2012,tt1991245,Chernobyl Diaries,notalk,FAIL,1000000,18119640,38390020,1014639,18384886,38951995
2012,tt1706593,Chronicle,notalk,FAIL,12000000,64575175,127075175,12175663,65520463,128935373
2012,tt1371111,Cloud Atlas,ok,PASS,102000000,27108272,126018564,103493134,27505098,127863295
2012,tt1524137,Contraband,ok,PASS,25000000,66528000,98406855,25365964,67501874,99847390
2012,tt1853728,Django Unchained,notalk,FAIL,100000000,162805434,425373688,101463857,165188672,431600549
2012,tt1907668,Flight,dubious,FAIL,31000000,93772375,161772375,31453796,95145068,164140491
2012,tt1142977,Frankenweenie,nowomen,FAIL,39000000,35287788,81150788,39570904,35804351,82338719
2012,tt2243973,Hannibal,ok,PASS,87000000,165092266,350100280,88273555,167508980,355225246
2012,tt0837562,Hotel Transylvania,ok,PASS,85000000,148313048,359222014,86244278,150484138,364480509
2012,tt0790724,Jack Reacher,notalk,FAIL,60000000,80070736,217370736,60878314,81242857,220552732
2012,tt2106476,Jagten,men,FAIL,3450000,687185,687185,3500503,697244,697244
2012,tt0401729,John Carter,ok,PASS,275000000,73058679,282778100,279025606,74128153,286917566
2012,tt1764234,Killing Them Softly,nowomen,FAIL,15000000,14945541,37238774,15219578,15164322,37783896
2012,tt1707386,Les Miserables,ok,PASS,65000000,148809770,442022894,65951507,150988132,448493475
2012,tt0454876,Life of Pi,notalk,FAIL,120000000,124987022,607987022,121756628,126816653,616887080
2012,tt0443272,Lincoln,ok,PASS,65000000,182207973,273000960,65951507,184875236,276997302
2012,tt1277953,Madagascar 3: Europe&#39;s Most Wanted,men,FAIL,145000000,216391482,746921271,147122592,219559143,757855127
2012,tt1409024,Men in Black III,notalk,FAIL,215000000,179020854,624821154,218147292,181641463,633967639
2012,tt1667353,Mirror Mirror,dubious,FAIL,85000000,64935167,168611991,86244278,65885725,171080229
2012,tt1748122,Moonrise Kingdom,ok,PASS,16000000,45512466,64012466,16234217,46178703,64949517
2012,tt2094064,Much Ado About Nothing,dubious,FAIL,8000000,22549338,22549338,8117109,22879428,22879428
2012,tt1598828,One for the Money,ok,PASS,42000000,26414527,36197221,42614820,26801198,36727096
2012,tt2109184,Paranormal Activity 4,ok,PASS,5000000,53900335,142793842,5073193,54689359,144884139
2012,tt1623288,ParaNorman,notalk,FAIL,60000000,56003051,108159011,60878314,56822855,109742304
2012,tt1047540,Parental Guidance,ok,PASS,25000000,77267296,120168633,25365964,78398378,121927729
2012,tt1716777,People Like Us,ok,PASS,16000000,12431792,12431792,16234217,12613776,12613776
2012,tt1981677,Pitch Perfect,ok,PASS,17000000,65001093,115331177,17248856,65952616,117019460
2012,tt1547234,Premium Rush,ok,PASS,35000000,20275446,31393201,35512350,20572249,31852752
2012,tt1234719,Red Dawn,notalk,FAIL,65000000,44806783,48164150,65951507,45462690,48869204
2012,tt0485985,Red Tails,men,FAIL,58000000,49876377,50365498,58849037,50606496,51102777
2012,tt1446192,Rise of the Guardians,notalk,FAIL,145000000,103412758,306900902,147122592,104926572,311393491
2012,tt1336608,Rock of Ages,ok,PASS,70000000,38518613,50118613,71024700,39082470,50852278
2012,tt1656190,Safe,notalk,FAIL,33000000,17142080,41495213,33483073,17393015,42102643
2012,tt1862079,Safety Not Guaranteed,ok,PASS,750000,4010957,4413188,760979,4069672,4477791
2012,tt1931533,Seven Psychopaths,notalk,FAIL,13500000,15024049,23492318,13697621,15243980,23836212
2012,tt0938330,Silent Hill: Revelation 3D,ok,PASS,20000000,17530219,47944599,20292771,17786836,48646439
2012,tt1045658,Silver Linings Playbook,ok,PASS,21000000,132092958,227317397,21307410,134026609,230644998
2012,tt1922777,Sinister,men,FAIL,3000000,48086903,87727807,3043916,48790826,89012016
2012,tt1074638,Skyfall,dubious,FAIL,200000000,304360277,1108694081,202927713,308815675,1124923772
2012,tt1735898,Snow White and the Huntsman,ok,PASS,170000000,155136755,400911200,172488556,157407735,406779965
2012,tt1876451,Sparkle,ok,PASS,10000000,24397469,24660323,10146386,24754613,25021315
2012,tt2101441,Spring Breakers,ok,PASS,5000000,14124286,30669531,5073193,14331045,31118489
2012,tt1800741,Step Up Revolution,ok,PASS,33000000,35074677,165552290,33483073,35588120,167975738
2012,tt1874789,Supporting Characters,men,FAIL,60000,4917,4917,60878,4989,4989
2012,tt1637725,Ted,men,FAIL,50000000,218665740,549444574,50731928,221866693,557487654
2012,tt1232200,That&#39;s My Boy,notalk,FAIL,67500000,36931089,58058367,68488103,37471707,58908258
2012,tt0948470,The Amazing Spider-Man,men,FAIL,220000000,262030663,757890267,223220484,265866416,768984693
2012,tt0848228,The Avengers,notalk,FAIL,60000000,23385416,48585416,60878314,23727745,49296637
2012,tt1345836,The Dark Knight Rises,notalk,FAIL,275000000,448139099,1079343943,279025606,454699213,1095143990
2012,tt1560985,The Devil Inside,ok,PASS,1000000,53261944,101758489,1014639,54041622,103248087
2012,tt1645170,The Dictator,notalk,FAIL,65000000,59650222,179379532,65951507,60523416,182005391
2012,tt1764651,The Expendables 2,ok,PASS,100000000,85028192,311979256,101463857,86272883,316546185
2012,tt1601913,The Grey,nowomen,FAIL,25000000,51580136,84339696,25365964,52335195,85574308
2012,tt0903624,The Hobbit: An Unexpected Journey,nowomen,FAIL,250000000,303003568,1014703568,253659641,307439106,1029557373
2012,tt1392170,The Hunger Games,ok,PASS,80000000,408010692,684510692,81171085,413983383,694530947
2012,tt1649419,The Impossible,men,FAIL,40000000,19019882,169590606,40585543,19298306,172073169
2012,tt1258972,The Man with the Iron Fists,notalk,FAIL,15000000,15634090,21985095,15219578,15862951,22306925
2012,tt1560747,The Master,notalk,FAIL,37500000,16247159,25116740,38048946,16484994,25484413
2012,tt1430626,The Pirates! Band of Misfits,notalk,FAIL,55000000,31051126,123056220,55805121,31505670,124857587
2012,tt1817273,The Place Beyond the Pines,notalk,FAIL,15000000,21403519,47011449,15219578,21716836,47699629
2012,tt1673434,The Twilight Saga: Breaking Dawn - Part 2,dubious,FAIL,136200000,292324737,832660037,138193773,296603952,844848985
2012,tt1606389,The Vow,ok,PASS,8738320,125014030,197618160,8866236,126844056,200511006
2012,tt1298649,The Watch,men,FAIL,55000000,34353000,67353000,55805121,34855879,68338951
2012,tt1596365,The Woman in Black,notalk,FAIL,15000000,54333290,128955898,15219578,55128651,130843627
2012,tt1840417,The Words,notalk,FAIL,6000000,11494838,12132578,6087831,11663106,12310182
2012,tt1621045,Think Like a Man,ok,PASS,12000000,91547205,96155124,12175663,92887325,97562697
2012,tt1859650,To Rome With Love,men,FAIL,21500000,16684352,74363777,21814729,16928587,75452356
2012,tt1386703,Total Recall,notalk,FAIL,125000000,58877969,198615996,126829821,59739858,201523449
2012,tt1496025,Underworld: Awakening,ok,PASS,70000000,62321039,160379930,71024700,63233330,162727662
2012,tt1655460,Wanderlust,ok,PASS,32500000,17288155,24159934,32975753,17541229,24513601
2012,tt1586265,What to Expect When You&#39;re Expecting,ok,PASS,37500000,41152203,80652203,38048946,41754612,81832836
2012,tt1870529,Won&#39;t Back Down,ok,PASS,19000000,5310554,5431486,19278133,5388293,5510995
2012,tt1646987,Wrath of the Titans,notalk,FAIL,150000000,83670083,301970083,152195785,84894893,306390492
2012,tt1772341,Wreck-It Ralph,ok,PASS,165000000,189412677,473412677,167415363,192185407,480342759
2012,tt1790885,Zero Dark Thirty,ok,PASS,52500000,95720716,137720716,53268525,97121930,139736750
2011,tt1622547,30 Minutes or Less,notalk,FAIL,28000000,37053924,40966716,28999342,38376408,42428850
2011,tt1306980,50/50,men,FAIL,8000000,35016118,41334735,8285526,36265871,42810004
2011,tt1571222,A Dangerous Method,dubious,FAIL,20000000,5702083,14807531,20713816,5905595,15336023
2011,tt1422136,A Lonely Place to Die,ok,PASS,4000000,#N/A,442550,4142763,#N/A,458345
2011,tt1268799,A Very Harold &amp; Kumar 3D Christmas,notalk,FAIL,20000000,35061031,36265745,20713816,36312387,37560098
2011,tt1549572,Another Earth,ok,PASS,175000,1321194,1781194,181246,1368348,1844766
2011,tt1772240,Apollo 18,nowomen,FAIL,5000000,17686929,26517819,5178454,18318189,27464261
2011,tt1430607,Arthur Christmas,notalk,FAIL,85000000,46462469,147624649,88033717,48120751,152893489
2011,tt1478964,Attack the Block,ok,PASS,13000000,1024175,5406422,13463980,1060729,5599381
2011,tt1284575,Bad Teacher,ok,PASS,19000000,100292856,216412265,19678125,103872387,224136189
2011,tt1217613,Battle: Los Angeles,notalk,FAIL,70000000,83552429,212005201,72498355,86534481,219571833
2011,tt1152398,Beastly,notalk,FAIL,17000000,27865571,38028230,17606743,28860115,39385487
2011,tt1629705,Blackthorn,notalk,FAIL,4500000,200558,1249765,4660609,207716,1294370
2011,tt1478338,Bridesmaids,ok,PASS,32500000,169106725,289263136,33659951,175142277,299587165
2011,tt0458339,Captain America: The First Avenger,notalk,FAIL,140000000,176654505,370569776,144996710,182959443,383795703
2011,tt1216475,Cars 2,men,FAIL,200000000,191450875,560155383,207138157,198283907,580147769
2011,tt1684628,Circumstance,ok,PASS,900000,454121,454121,932122,470329,470329
2011,tt1657507,Colombiana,notalk,FAIL,40000000,36665854,71698079,41427631,37974487,74257040
2011,tt0816462,Conan the Barbarian,dubious,FAIL,20000000,38264085,79114085,20713816,39629760,81937729
2011,tt1598778,Contagion,ok,PASS,60000000,75658097,137551594,62141447,78358394,142460919
2011,tt1372686,Coriolanus,men,FAIL,10000000,749641,1049641,10356908,776396,1087104
2011,tt0409847,Cowboys &amp; Aliens,notalk,FAIL,163000000,100240551,175910315,168817598,103818215,182188693
2011,tt1701990,Detention,ok,PASS,10000000,#N/A,#N/A,10356908,#N/A,#N/A
2011,tt1650043,Diary of a Wimpy Kid: Rodrick Rules,notalk,FAIL,18000000,52698535,73695194,18642434,54579387,76325433
2011,tt1564349,Dolphin Tale,men,FAIL,37000000,72286779,96068724,38320559,74866751,99497492
2011,tt1462041,Dream House,ok,PASS,50000000,21302340,39932340,51784539,22062637,41357557
2011,tt0780504,Drive,dubious,FAIL,15000000,35060689,78054825,15535362,36312033,80840663
2011,tt1596343,Fast Five,ok,PASS,125000000,209837675,629841284,129461348,217326947,652320815
2011,tt1622979,Final Destination 5,men,FAIL,40000000,42587643,157887643,41427631,44107629,163522777
2011,tt1068242,Footloose,ok,PASS,24000000,51802742,63412773,24856579,53651623,65676025
2011,tt1438176,Fright Night,dubious,FAIL,30000000,18298649,40520649,31070724,18951742,41966863
2011,tt1133985,Green Lantern,notalk,FAIL,200000000,116601172,231201172,207138157,120762760,239452924
2011,tt0480687,Hall Pass,men,FAIL,36000000,45060734,83693266,37284868,46668987,86680344
2011,tt0993842,Hanna,ok,PASS,30000000,40259119,65343694,31070724,41695999,67675862
2011,tt1201607,Harry Potter and the Deathly Hallows: Part 2,notalk,FAIL,125000000,381011219,1328111219,129461348,394609809,1375512553
2011,tt1506999,Haywire,nowomen,FAIL,23000000,18942396,22176190,23820888,19618465,22967676
2011,tt1403177,Hesher,notalk,FAIL,7000000,382946,382946,7249836,396614,396614
2011,tt1562568,Higher Ground,ok,PASS,1800000,841056,859182,1864243,871074,889847
2011,tt1640459,Hobo with a Shotgun,nowomen,FAIL,3000000,703372,834953,3107072,728476,864753
2011,tt1411704,Hop,men,FAIL,63000000,108085305,184924333,65248520,111942955,191524428
2011,tt1499658,Horrible Bosses,ok,PASS,35000000,117538559,214538559,36249178,121733603,222195609
2011,tt0970179,Hugo,dubious,FAIL,180000000,73864507,185033215,186424342,76500789,191637196
2011,tt1464540,I Am Number Four,notalk,FAIL,50000000,55100437,145982797,51784539,57067015,151193038
2011,tt1253864,Immortals,men,FAIL,75000000,83504017,211562435,77676809,86484341,219113265
2011,tt1637688,In Time,notalk,FAIL,35000000,37553932,170064664,36249178,38894261,176134406
2011,tt1606618,Iris,ok,PASS,5500000,5580479,15155021,5696299,5779651,15695916
2011,tt1410063,Jin ling shi san chai,ok,PASS,100000000,311434,93721434,103569079,322549,97066426
2011,tt1634122,Johnny English Reborn,dubious,FAIL,45000000,8305970,164539660,46606085,8602417,170412210
2011,tt1640484,Jumping the Broom,ok,PASS,7000000,37295394,38158601,7249836,38626496,39520511
2011,tt1564367,Just Go with It,dubious,FAIL,80000000,103028109,214974953,82855263,106705263,222647578
2011,tt1788391,Kill List,dubious,FAIL,800000,29063,462206,828553,30100,478703
2011,tt1448755,Killer Elite,nowomen,FAIL,70000000,25124986,57777106,72498355,26021717,59839216
2011,tt1302011,Kung Fu Panda 2,ok,PASS,150000000,165249063,664837547,155353618,171146932,688566122
2011,tt1508675,Le Havre,dubious,FAIL,5500000,611709,13480196,5696299,633541,13961315
2011,tt1758692,Like Crazy,ok,PASS,250000,3395391,3731489,258923,3516575,3864669
2011,tt1219289,Limitless,notalk,FAIL,27000000,79249455,169739455,27963651,82077930,175797590
2011,tt0466893,Margaret,ok,PASS,14000000,47185,47185,14499671,48869,48869
2011,tt1615147,Margin Call,notalk,FAIL,3400000,5353586,17872206,3521349,5544660,18510079
2011,tt1305591,Mars Needs Moms,dubious,FAIL,150000000,21392758,39549758,155353618,22156282,40961320
2011,tt1441326,Martha Marcy May Marlene,ok,PASS,1000000,2981038,3531038,1035691,3087434,3657064
2011,tt1527186,Melancholia,ok,PASS,9400000,3030848,18044073,9735493,3139021,18688080
2011,tt1605783,Midnight in Paris,ok,PASS,30000000,56816662,154816662,31070724,58844493,160342190
2011,tt1229238,Mission: Impossible - Ghost Protocol,notalk,FAIL,145000000,209397903,694713230,150175164,216871479,719508092
2011,tt1210166,Moneyball,notalk,FAIL,50000000,75605492,111174374,51784539,78303911,115142275
2011,tt1396218,Mr. Popper&#39;s Penguins,notalk,FAIL,55000000,68224452,189624452,56962993,70659436,196392298
2011,tt1598822,New Year&#39;s Eve,ok,PASS,26000000,54544638,143663899,26927960,56491379,148791377
2011,tt1411238,No Strings Attached,ok,PASS,25000000,70662220,149228078,25892270,73184210,154554145
2011,tt1720182,October Baby,ok,PASS,1000000,5355847,5355847,1035691,5547001,5547001
2011,tt1637706,Our Idiot Brother,ok,PASS,5000000,24814830,25861249,5178454,25700491,26784257
2011,tt1778304,Paranormal Activity 3,ok,PASS,5000000,104028807,207039844,5178454,107741677,214429259
2011,tt1092026,Paul,ok,PASS,40000000,37412945,100179814,41427631,38748242,103755310
2011,tt1298650,Pirates of the Caribbean: On Stranger Tides,notalk,FAIL,250000000,241063875,1043663875,258922697,249667634,1080913060
2011,tt0822847,Priest,notalk,FAIL,60000000,29136626,84154026,62141447,30176535,87157549
2011,tt0448694,Puss in Boots,notalk,FAIL,130000000,149260504,554987477,134639802,154587729,574795417
2011,tt1192628,Rango,notalk,FAIL,135000000,123257581,245504574,139818256,127656741,254266825
2011,tt0433035,Real Steel,notalk,FAIL,110000000,85463309,293237309,113925987,88513562,303703179
2011,tt1486185,Red Riding Hood,ok,PASS,42000000,37662162,90300442,43499013,39006354,93523336
2011,tt0873886,Red State,ok,PASS,4000000,1065429,1065429,4142763,1103455,1103455
2011,tt1498569,Restless,ok,PASS,8000000,163753,2818394,8285526,169597,2918985
2011,tt1436562,Rio,notalk,FAIL,90000000,143619809,487519809,93212171,148745713,504919774
2011,tt1318514,Rise of the Planet of the Apes,notalk,FAIL,93000000,176760185,482860185,96319243,183068895,500093845
2011,tt1723811,Shame,notalk,FAIL,6500000,4002293,10781688,6731990,4145138,11166495
2011,tt1541995,Snow Flower and the Secret Fan,ok,PASS,6000000,1348205,11348205,6214145,1396324,11753231
2011,tt1596346,Soul Surfer,ok,PASS,18000000,43853424,47158652,18642434,45418587,48841781
2011,tt0945513,Source Code,notalk,FAIL,32000000,54712227,140428499,33142105,56664949,145440503
2011,tt0999913,Straw Dogs,ok,PASS,25000000,10324441,11253821,25892270,10692928,11655479
2011,tt0978764,Sucker Punch,ok,PASS,75000000,36392502,89758389,77676809,37691379,92961937
2011,tt1650062,Super 8,ok,PASS,50000000,127004179,260095987,51784539,131537058,269379017
2011,tt1675192,Take Shelter,ok,PASS,4750000,1728953,3128953,4919531,1790661,3240628
2011,tt1385826,The Adjustment Bureau,dubious,FAIL,50200000,62495645,127793502,51991677,64726164,132354553
2011,tt0983193,The Adventures of Tintin,notalk,FAIL,130000000,77591831,373993951,134639802,80361144,387342089
2011,tt1655442,The Artist,notalk,FAIL,16000000,44667095,128256712,16571053,46261299,132834295
2011,tt1412386,The Best Exotic Marigold Hotel,ok,PASS,10000000,46383639,134729347,10356908,48039108,139537943
2011,tt1259521,The Cabin in the Woods,dubious,FAIL,30000000,42073277,70768144,31070724,43574905,73293915
2011,tt1093357,The Darkest Hour,ok,PASS,34800000,21443494,62831715,36042039,22208829,65074228
2011,tt1535616,The Divide,ok,PASS,3000000,18000,18000,3107072,18642,18642
2011,tt1235170,The Future,ok,PASS,1000000,568662,568662,1035691,588958,588958
